Location,state,direction (alpha),dirDEG,windspeed,latitude,longitude,rainTODyes,rainTODno,,,,rainfall,mintemp,maxtemp,avghumiditymorning ,avghumidityafternoon,avgwindspeed,avgpressure9am,avgpressure3pm
Watsonia,Victoria,SSW,202.5,34.8759542,-37.708,145.083,2261,738,,,,558.06,10.13187875,20.89607843,78.38397329,54.70887338,38.05921938,1018.030229,1016.085045
Dartmoor,Victoria,SSW,202.5,36.3496144,-37.9333,141.283,2021,921,,,,631.52,8.620034014,19.69745418,85.21790723,62.45653736,38.89829932,1018.002479,1016.509885
Brisbane,Queensland,E,90,28.04812834,-27.4678,153.0278,2452,709,,,,994.1,16.42380653,26.44837999,64.04358733,53.91220894,28.21288071,1018.232989,1015.099278
Cairns,Queensland,SE,135,42.67689162,-16.9256,145.7753,2038,950,,,,1715.72,21.22046726,29.55884868,69.93682132,61.75164474,38.03143614,1014.151333,1011.099441
GoldCoast,Queensland,SSE,157.5,48.86914378,-28.0167,153.4,2205,775,,,,1123.28,17.36328614,25.76706231,66.32749504,62.98051519,42.47636986,1017.922113,1015.214643
Townsville,Queensland,ENE,67.5,37.99020568,-19.2622,146.8158,2513,520,,,,1057.18,20.4178736,29.36716025,63.95427632,57.40098684,38.8405701,1015.165493,1011.905691
Adelaide,South Australia,WSW,247.5,35.62197393,-34.9275,138.6,2402,689,,,,484.16,12.57950486,22.89893417,59.7010665,44.8281054,36.49921061,1018.764082,1016.803264
MountGambier,South Australia,N,0,42.0591716,-37.8294,140.7828,2110,921,,,,632.74,8.825477288,19.82899506,75.49273448,57.3290429,42.86646586,1017.937656,1016.375848
Nuriootpa,South Australia,SE,135,39.64439655,-34.468,138.99,2411,592,,,,417.52,9.363242161,21.70413333,66.76025342,45.42556742,40.67226891,1018.910959,1016.790003
Woomera,South Australia,SSE,157.5,44.5819209,-31.2,136.817,2789,202,,,,146.68,13.36372712,26.59670659,53.12750334,28.40241449,44.15656566,1018.632655,1015.969917
Albany,Western Australia,,,,-35.0228,117.8814,2114,902,,,,682.78,12.94843802,20.07099799,74.80541625,67.40791738,#DIV/0!,1018.275721,1016.49728
Witchcliffe,Western Australia,SSE,157.5,41.26785714,-34.03,115.1,2073,879,,,,854.8,10.77506667,21.68624709,71.36475262,57.78018018,40.08501344,1018.39513,1016.732974
PearceRAAF,Western Australia,E,90,49.57197697,-31.663,116.03,2257,505,,,,461,12.30385002,26.05123829,60.82335229,42.07914152,43.5799581,1017.635609,1015.096075
PerthAirport,Western Australia,E,90,52.92605634,-31.944,115.968,2442,567,,,,530.08,12.58035892,25.53323363,58.77567298,41.92320479,44.20182248,1017.890323,1015.366789
Perth,Western Australia,SW,225,36.16643741,-31.9559,115.8606,2548,645,,,,608.68,12.92270592,25.03483709,62.68812814,46.90612245,34.88299875,1017.784398,1015.420457
SalmonGums,Western Australia,SSW,202.5,42.59150327,-32.98,121.65,2483,472,,,,305.66,9.313006757,24.25082742,62.80640809,40.75177066,39.74837161,#DIV/0!,#DIV/0!
Walpole,Western Australia,SE,135,37.78899083,-34.98,116.732,1870,949,,,,819.44,11.80663076,20.45918436,76.11926606,66.31602172,39.81883562,1017.878811,1016.237047
Hobart,Tasmania,NNW,337.5,44.47889374,-42.8833,147.3167,2426,762,,,,510.66,9.07857814,17.86572682,65.62205467,52.94465409,47.53091483,1014.531297,1012.961873
Launceston,Tasmania,NNW,337.5,37.21772429,-41.4444,147.1378,2328,700,,,,609.23,7.836189848,18.95491101,79.5,57.32244224,35.63485201,1015.679279,1013.754213
AliceSprings,Northern Territory,ESE,112.5,39.99228395,-23.7,133.8667,2788,244,,,,267.68,13.14228365,29.24842001,39.69015476,24.13146623,40.53128137,1016.684732,1012.871913
Darwin,Northern Territory,E,90,43.04206501,-12.4381,130.8411,2341,852,,,,1626.02,23.20930451,32.54097744,68.48621554,51.82795362,40.58235481,1011.888784,1008.349107
Katherine,Northern Territory,E,90,39.70639535,-14.4667,132.2667,1295,265,,,,499.37,20.55356442,34.93543563,63.79024716,42.76145553,38.77146546,1012.791122,1008.486078
Uluru,Northern Territory,E,90,40.42349727,-25.3508,131.066,1406,116,,,,119.38,14.46668827,30.38319542,42.66410749,24.12770013,41.2683727,1017.101403,1013.307751
